rk,team,conf,str,ofs,dfs,sos
60,Minnesota,big_ten,1.371,1.169,0.853,1.126
61,Richmond,a_ten,1.370,1.219,0.890,1.060
62,Seton Hall,big_east,1.368,1.136,0.830,1.109
63,S Dakota St,summit,1.365,1.158,0.849,1.052
64,Georgia Tech,acc,1.361,1.196,0.879,1.128
65,Purdue,big_ten,1.356,1.198,0.884,1.146
66,Arkansas,sec,1.354,1.225,0.904,1.132
67,Texas Tech,big_twelve,1.344,1.147,0.853,1.124
68,St Joseph's PA,a_ten,1.344,1.099,0.818,1.049
69,Drake,mvc,1.340,1.283,0.958,1.061
70,George Mason,a_ten,1.339,1.160,0.866,1.050
71,Toledo,mac,1.334,1.177,0.882,1.046
72,Boston College,acc,1.331,1.239,0.931,1.122
73,Missouri,sec,1.331,1.219,0.916,1.139
74,Santa Clara,wcc,1.315,1.162,0.883,1.061
75,BYU,big_twelve,1.315,1.167,0.888,1.125
76,UCF,big_twelve,1.310,1.137,0.868,1.133
77,Cincinnati,big_twelve,1.309,1.128,0.861,1.145
78,Belmont,mvc,1.308,1.140,0.871,1.068
79,Ball St,mac,1.306,1.151,0.881,1.041
80,VCU,a_ten,1.304,1.054,0.808,1.049
81,Clemson,acc,1.304,1.207,0.926,1.125
82,Stony Brook,caa,1.297,1.171,0.903,1.006
83,Georgetown,big_east,1.297,1.019,0.786,1.090
84,Rhode Island,a_ten,1.290,1.086,0.842,1.064
85,St John's,big_east,1.286,1.053,0.819,1.099
86,Marshall,sun_belt,1.284,1.335,1.040,1.041
87,Houston,big_twelve,1.282,1.177,0.918,1.122
88,Cleveland St,horizon,1.280,1.175,0.918,1.025
89,Georgia,sec,1.276,1.115,0.873,1.140
90,Davidson,a_ten,1.276,1.074,0.842,1.045
91,North Texas,aac,1.276,1.185,0.929,1.052
92,Oregon,pac_twelve,1.274,1.100,0.864,1.165
93,E Washington,big_sky,1.273,1.105,0.868,1.026
94,Temple,aac,1.272,1.145,0.900,1.064
95,Harvard,ivy,1.264,1.155,0.914,1.063
96,Rice,aac,1.251,1.116,0.892,1.069
97,Arizona St,pac_twelve,1.251,1.130,0.903,1.165
98,DePaul,big_east,1.251,1.243,0.994,1.103
99,Northern Iowa,mvc,1.247,1.194,0.957,1.080
100,Portland,wcc,1.246,1.111,0.891,1.072
101,Fairfield,maac,1.237,1.118,0.904,0.980
102,South Florida,aac,1.233,1.061,0.860,1.070
103,Grand Canyon,wac,1.232,1.047,0.850,1.019
104,East Carolina,aac,1.229,1.101,0.896,1.075
105,Wisconsin,big_ten,1.228,1.079,0.879,1.138
106,Murray St,mvc,1.226,1.328,1.084,1.041
107,Tulsa,aac,1.223,1.168,0.955,1.067
108,Missouri St,mvc,1.219,1.104,0.906,1.050
109,Colorado St,mwc,1.218,1.109,0.911,1.044
110,Wake Forest,acc,1.216,1.073,0.883,1.147
111,Kent,mac,1.214,1.151,0.948,1.045
112,Montana,big_sky,1.213,1.171,0.965,1.042
113,Providence,big_east,1.208,1.039,0.860,1.108
114,N Dakota St,summit,1.203,1.175,0.976,1.053
115,Butler,big_east,1.202,1.067,0.887,1.093
116,James Madison,sun_belt,1.202,1.149,0.956,1.059
117,Illinois St,mvc,1.199,1.155,0.963,1.048
118,Memphis,aac,1.195,1.126,0.942,1.090
119,SMU,aac,1.195,1.149,0.962,1.072
120,Kentucky,sec,1.193,1.148,0.962,1.146
121,UC Irvine,big_west,1.191,1.024,0.860,1.019
122,Wyoming,mwc,1.190,1.042,0.876,1.068
123,Charlotte,aac,1.189,1.065,0.895,1.066
124,Troy,sun_belt,1.186,1.293,1.090,1.049
125,Jackson St,swac,1.186,1.088,0.917,1.007
126,UT San Antonio,aac,1.182,1.053,0.891,1.065
127,Rutgers,big_ten,1.179,1.138,0.965,1.118
128,Duquesne,a_ten,1.179,1.153,0.978,1.056
129,Chattanooga,southern,1.178,1.007,0.855,1.011
130,Northern Arizona,big_sky,1.178,1.232,1.046,1.044
131,Maine,aec,1.176,1.049,0.891,1.018
132,Boise St,mwc,1.166,1.044,0.895,1.038
133,Oral Roberts,summit,1.166,1.252,1.074,1.053
134,Old Dominion,sun_belt,1.164,1.029,0.884,1.047
135,Pacific,wcc,1.161,1.178,1.015,1.069
136,Cal Baptist,wac,1.161,1.223,1.054,1.007
137,Norfolk St,meac,1.157,1.031,0.891,0.968
138,Hawaii,big_west,1.154,0.997,0.864,1.041
139,Pittsburgh,acc,1.153,1.060,0.919,1.122
140,Liberty,cusa,1.151,1.104,0.958,1.079
141,PFW,horizon,1.145,1.078,0.941,1.032
142,Tulane,aac,1.142,1.067,0.934,1.066
143,South Dakota,summit,1.142,1.078,0.943,1.044
144,San Diego St,mwc,1.138,1.084,0.952,1.049
145,Southern Miss,sun_belt,1.138,1.051,0.924,1.040
146,San Francisco,wcc,1.137,1.090,0.959,1.063
147,St Louis,a_ten,1.136,1.191,1.049,1.074
148,IL Chicago,mvc,1.134,1.075,0.947,1.034
149,Southern Indiana,ovc,1.130,1.097,0.971,1.007
150,Montana St,big_sky,1.129,0.984,0.871,1.050
151,Northwestern,big_ten,1.129,1.149,1.017,1.141
152,UAB,aac,1.129,1.165,1.032,1.039
153,ULM,sun_belt,1.129,1.132,1.002,1.035
154,NC A&T,caa,1.126,1.007,0.895,1.020
155,Lamar,southland,1.125,1.039,0.924,1.005
156,Vermont,aec,1.124,0.969,0.863,1.006
157,Col Charleston,caa,1.122,1.139,1.015,0.998
158,New Mexico,mwc,1.122,1.040,0.927,1.033
159,Penn,ivy,1.120,1.075,0.960,1.058
160,Brown,ivy,1.120,1.056,0.944,1.049
161,Monmouth NJ,caa,1.114,1.023,0.918,1.013
162,SF Austin,wac,1.110,1.135,1.022,1.030
163,Cent Arkansas,a_sun,1.107,1.027,0.927,1.016
164,Cal Poly,big_west,1.104,1.013,0.917,1.039
165,Loyola-Chicago,a_ten,1.104,1.013,0.917,1.046
166,WKU,cusa,1.104,1.052,0.953,1.050
167,Drexel,caa,1.097,0.940,0.856,1.027
168,SUNY Albany,aec,1.095,0.950,0.867,0.983
169,Bowling Green,mac,1.094,1.099,1.004,1.049
170,Louisiana Tech,cusa,1.093,1.000,0.915,1.059
171,N Colorado,big_sky,1.090,1.024,0.940,1.033
172,Appalachian St,sun_belt,1.086,1.135,1.045,1.043
173,UC Davis,big_west,1.086,1.012,0.932,1.039
174,Buffalo,mac,1.082,1.052,0.973,1.024
175,Towson,caa,1.081,1.067,0.988,1.022
176,Fordham,a_ten,1.079,1.029,0.954,1.049
177,St Mary's CA,wcc,1.078,1.016,0.942,1.066
178,Florida Intl,cusa,1.078,1.079,1.001,1.019
179,E Kentucky,a_sun,1.077,1.084,1.006,1.010
180,Louisiana,sun_belt,1.075,0.922,0.858,1.051
181,Arkansas St,sun_belt,1.072,1.040,0.970,1.036
182,William & Mary,caa,1.072,1.032,0.963,1.023
183,TAM C. Christi,southland,1.071,1.020,0.952,0.997
184,San Diego,wcc,1.071,1.040,0.971,1.069
185,G Washington,a_ten,1.070,0.956,0.893,1.042
186,Air Force,mwc,1.069,1.043,0.975,1.054
187,Nevada,mwc,1.069,1.034,0.968,1.042
188,Wichita St,aac,1.068,1.055,0.988,1.065
189,Wright St,horizon,1.066,1.099,1.032,1.043
190,Abilene Chr,wac,1.064,1.064,1.000,1.017
191,Long Beach St,big_west,1.062,1.111,1.046,1.039
192,UC Riverside,big_west,1.062,0.949,0.894,1.032
193,WI Milwaukee,horizon,1.061,1.018,0.960,1.019
194,Idaho,big_sky,1.060,0.952,0.898,1.021
195,Austin Peay,a_sun,1.060,0.960,0.906,1.017
196,Delaware,caa,1.060,1.091,1.029,1.018
197,Georgia St,sun_belt,1.058,1.078,1.019,1.030
198,S Illinois,mvc,1.058,1.031,0.975,1.046
199,Wofford,southern,1.058,1.060,1.003,1.011
200,FL Atlantic,aac,1.056,1.003,0.950,1.056
201,Fresno St,mwc,1.056,1.031,0.977,1.033
202,Loy Marymount,wcc,1.056,1.011,0.958,1.067
203,Holy Cross,patriot,1.055,0.977,0.925,0.986
204,UT Arlington,wac,1.055,1.107,1.049,1.032
205,SE Louisiana,southland,1.053,0.964,0.915,1.014
206,Mercer,southern,1.049,1.045,0.996,1.019
207,New Mexico St,cusa,1.049,0.965,0.920,1.035
208,Niagara,maac,1.047,1.114,1.064,1.012
209,Siena,maac,1.046,1.081,1.034,0.988
210,Campbell,caa,1.045,0.937,0.896,1.008
211,Utah Tech,wac,1.045,1.095,1.048,1.013
212,Lipscomb,a_sun,1.044,1.047,1.003,1.024
213,ETSU,southern,1.043,0.941,0.903,1.002
214,UC Santa Barbara,big_west,1.042,1.018,0.977,1.024
215,Idaho St,big_sky,1.040,0.972,0.934,1.042
216,Texas St,sun_belt,1.040,0.996,0.958,1.025
217,TN Martin,ovc,1.039,0.997,0.959,1.016
218,Ark Pine Bluff,swac,1.037,1.102,1.063,1.007
219,UTEP,cusa,1.035,1.089,1.052,1.051
220,Coastal Car,sun_belt,1.034,1.068,1.033,1.045
221,UNC Greensboro,southern,1.034,0.978,0.946,0.999
222,Ga Southern,sun_belt,1.031,1.094,1.061,1.020
223,Tennessee Tech,ovc,1.030,1.068,1.037,1.012
224,N Kentucky,horizon,1.029,1.093,1.063,1.044
225,UC San Diego,big_west,1.023,0.919,0.898,1.035
226,Colgate,patriot,1.020,0.963,0.944,0.983
227,Sacred Heart,nec,1.017,1.008,0.991,0.952
228,W Michigan,mac,1.015,1.009,0.994,1.029
229,St Thomas MN,summit,1.014,1.058,1.044,1.041
230,Youngstown St,horizon,1.012,0.966,0.955,1.028
231,Dayton,a_ten,1.004,1.020,1.016,1.058
232,Indiana St,mvc,1.003,1.018,1.015,1.045
233,Akron,mac,1.002,0.980,0.978,1.022
234,Yale,ivy,1.002,1.011,1.009,1.048
235,Detroit,horizon,1.002,0.954,0.953,1.017
236,N Illinois,mac,1.000,1.011,1.011,1.018
237,Southern Univ,swac,0.998,0.952,0.954,1.024
238,Ark Little Rock,ovc,0.996,0.895,0.899,1.038
239,Incarnate Word,southland,0.996,0.929,0.933,0.991
240,Oakland,horizon,0.995,1.068,1.073,1.039
241,Howard,meac,0.995,0.938,0.943,0.992
242,W Illinois,ovc,0.995,1.055,1.060,0.989
243,Grambling,swac,0.994,1.016,1.022,0.988
244,Binghamton,aec,0.991,0.985,0.994,0.991
245,Morehead St,ovc,0.991,0.989,0.999,1.017
246,Jacksonville,a_sun,0.990,1.031,1.041,1.033
247,Lehigh,patriot,0.988,1.062,1.075,0.978
248,Denver,summit,0.988,1.016,1.029,1.033
249,E Illinois,ovc,0.986,1.003,1.017,1.004
250,CS Fullerton,big_west,0.985,0.985,1.000,1.035
251,Boston Univ,patriot,0.985,0.974,0.989,0.992
252,Jacksonville St,cusa,0.983,0.943,0.960,1.035
253,MD E Shore,meac,0.980,0.962,0.982,0.991
254,Stetson,a_sun,0.980,0.908,0.927,1.012
255,Ohio,mac,0.973,1.032,1.061,1.033
256,Manhattan,maac,0.967,0.909,0.940,0.981
257,Missouri KC,summit,0.964,0.962,0.998,1.023
258,Cornell,ivy,0.962,0.957,0.995,1.053
259,Kennesaw,a_sun,0.960,0.951,0.990,1.039
260,Bethune-Cookman,swac,0.959,0.966,1.008,0.985
261,NE Omaha,summit,0.958,1.116,1.165,1.042
262,Canisius,maac,0.957,0.959,1.002,0.987
263,San Jose St,mwc,0.957,0.970,1.014,1.039
264,Samford,southern,0.955,0.908,0.951,1.021
265,North Alabama,a_sun,0.955,1.054,1.105,1.023
266,IUPUI,horizon,0.951,1.039,1.093,1.041
267,Massachusetts,a_ten,0.949,0.989,1.042,1.060
268,Weber St,big_sky,0.947,0.953,1.007,1.042
269,Loyola MD,patriot,0.945,0.934,0.988,0.990
270,Southern Utah,wac,0.945,1.013,1.072,1.027
271,Furman,southern,0.944,0.985,1.043,0.997
272,Coppin St,meac,0.943,0.897,0.951,1.007
273,North Dakota,summit,0.940,1.053,1.120,1.048
274,Sam Houston St,cusa,0.938,1.025,1.093,1.035
275,Valparaiso,mvc,0.937,0.981,1.047,1.035
276,Tarleton St,wac,0.936,0.938,1.002,1.011
277,SE Missouri St,ovc,0.935,0.951,1.018,1.013
278,La Salle,a_ten,0.935,0.971,1.039,1.056
279,Bucknell,patriot,0.934,0.901,0.964,1.006
280,Alabama A&M,swac,0.933,0.931,0.998,0.979
281,CS Sacramento,big_sky,0.933,0.941,1.008,1.040
282,TX A&M Commerce,southland,0.933,1.075,1.152,1.009
283,Nicholls St,southland,0.932,0.958,1.027,0.991
284,Miami OH,mac,0.932,0.875,0.939,1.033
285,High Point,big_south,0.930,0.964,1.037,0.989
286,Quinnipiac,maac,0.926,0.940,1.015,0.999
287,CS Bakersfield,big_west,0.926,0.962,1.040,1.021
288,Bryant,aec,0.925,0.936,1.011,0.993
289,St Bonaventure,a_ten,0.925,0.923,0.998,1.044
290,Utah Valley,wac,0.925,0.914,0.988,1.012
291,North Florida,a_sun,0.924,0.950,1.028,1.028
292,Le Moyne,nec,0.922,0.897,0.972,0.983
293,Bellarmine,a_sun,0.922,1.032,1.119,1.027
294,New Orleans,southland,0.922,0.975,1.057,1.002
295,Elon,caa,0.917,0.872,0.951,1.023
296,Northwestern LA,southland,0.916,0.891,0.973,1.011
297,C Michigan,mac,0.915,0.978,1.068,1.024
298,Xavier,big_east,0.914,0.921,1.007,1.110
299,Tennessee St,ovc,0.914,0.951,1.040,1.004
300,Mt St Mary's,maac,0.914,0.872,0.953,0.987
301,Seattle,wac,0.914,1.006,1.101,1.030
302,American Univ,patriot,0.911,0.958,1.052,0.992
303,Hofstra,caa,0.909,0.881,0.969,0.995
304,E Michigan,mac,0.908,0.913,1.006,1.029
305,Northeastern,caa,0.906,0.921,1.016,1.001
306,UTRGV,wac,0.904,0.940,1.040,1.029
307,South Alabama,sun_belt,0.900,0.954,1.059,1.037
308,Navy,patriot,0.899,0.947,1.053,0.986
309,SIUE,ovc,0.896,1.056,1.179,1.015
310,New Hampshire,aec,0.895,0.871,0.974,0.996
311,Lindenwood,ovc,0.894,0.988,1.105,1.005
312,Army,patriot,0.894,0.927,1.037,0.987
313,UMBC,aec,0.894,0.913,1.021,0.994
314,NJIT,aec,0.893,0.918,1.029,0.983
315,Bradley,mvc,0.892,0.955,1.070,1.046
316,Portland St,big_sky,0.892,0.922,1.034,1.034
317,Iona,maac,0.889,0.915,1.030,0.984
318,Radford,big_south,0.887,0.881,0.993,0.980
319,Presbyterian,big_south,0.884,0.871,0.985,0.969
320,Pepperdine,wcc,0.881,0.893,1.014,1.070
321,Florida A&M,swac,0.878,0.937,1.067,1.007
322,SC Upstate,big_south,0.877,0.898,1.024,0.962
323,Lafayette,patriot,0.873,0.886,1.015,0.989
324,Charleston So,big_south,0.872,0.938,1.076,0.979
325,Robert Morris,horizon,0.870,0.871,1.001,1.031
326,Evansville,mvc,0.868,0.976,1.124,1.045
327,Alcorn St,swac,0.867,0.851,0.981,1.010
328,Dartmouth,ivy,0.865,0.799,0.924,1.033
329,NC Central,meac,0.862,0.964,1.119,0.980
330,F Dickinson,nec,0.861,0.882,1.025,0.964
331,CS Northridge,big_west,0.859,0.909,1.058,1.032
332,Marist,maac,0.858,0.876,1.020,0.990
333,Merrimack,nec,0.853,0.903,1.058,0.954
334,MA Lowell,aec,0.848,0.862,1.016,1.009
335,Rider,maac,0.846,0.873,1.032,0.992
336,Hampton,caa,0.845,0.903,1.069,1.014
337,Utah St,mwc,0.844,0.946,1.121,1.045
338,Winthrop,big_south,0.841,0.835,0.992,0.971
339,Morgan St,meac,0.839,0.854,1.017,1.004
340,UNC Asheville,big_south,0.839,0.871,1.038,0.954
341,Prairie View,swac,0.839,0.926,1.103,1.003
342,Longwood,big_south,0.827,0.913,1.105,0.983
343,Central Conn,nec,0.825,0.898,1.089,0.965
344,Queens NC,a_sun,0.821,0.927,1.128,0.999
345,TX Southern,swac,0.815,0.901,1.106,1.006
346,Gardner Webb,big_south,0.806,0.979,1.215,0.990
347,W Carolina,southern,0.804,0.880,1.095,1.005
348,St Peter's,maac,0.799,0.801,1.002,0.984
349,Houston Chr,southland,0.790,0.820,1.038,1.020
350,MS Valley St,swac,0.786,0.894,1.137,1.030
351,UNC Wilmington,caa,0.780,0.881,1.129,1.018
352,Delaware St,meac,0.772,0.869,1.126,1.006
353,McNeese St,southland,0.765,0.957,1.252,1.011
354,LIU Brooklyn,nec,0.760,0.876,1.152,0.943
355,Alabama St,swac,0.738,0.808,1.095,1.025
356,Wagner,nec,0.724,0.823,1.137,0.947
357,Chicago St,ind,0.716,0.902,1.260,1.029
358,Stonehill,nec,0.714,0.809,1.134,0.967
359,S Carolina St,meac,0.709,0.781,1.102,0.992
360,St Francis PA,nec,0.694,0.801,1.154,0.962
