BEGIN
CREATE TABLE
INSERT 0 363
 rk  |       team       |    conf    |  str  |  ofs  |  dfs  |  sos  
  40 | Utah St          | mwc        | 1.269 | 1.168 | 0.921 | 1.067
  41 | Michigan         | big_ten    | 1.267 | 1.122 | 0.885 | 1.087
  42 | Texas Tech       | big_twelve | 1.267 | 1.111 | 0.877 | 1.083
  43 | NC State         | acc        | 1.265 | 1.162 | 0.919 | 1.065
  44 | Miami FL         | acc        | 1.264 | 1.185 | 0.938 | 1.066
  45 | FL Atlantic      | cusa       | 1.264 | 1.126 | 0.891 | 1.034
  46 | USC              | pac_twelve | 1.260 | 1.126 | 0.893 | 1.074
  47 | Mississippi St   | sec        | 1.258 | 1.008 | 0.802 | 1.073
  48 | Boise St         | mwc        | 1.255 | 1.073 | 0.855 | 1.063
  49 | Clemson          | acc        | 1.254 | 1.118 | 0.892 | 1.058
  50 | Oregon           | pac_twelve | 1.253 | 1.107 | 0.883 | 1.084
  51 | Oklahoma         | big_twelve | 1.252 | 1.072 | 0.857 | 1.102
  52 | Florida          | sec        | 1.246 | 1.109 | 0.890 | 1.081
  53 | Seton Hall       | big_east   | 1.244 | 1.055 | 0.848 | 1.082
  54 | Missouri         | sec        | 1.243 | 1.194 | 0.960 | 1.075
  55 | Cincinnati       | aac        | 1.241 | 1.125 | 0.906 | 1.061
  56 | Wisconsin        | big_ten    | 1.239 | 1.009 | 0.815 | 1.089
  57 | Villanova        | big_east   | 1.238 | 1.076 | 0.869 | 1.082
  58 | Utah             | pac_twelve | 1.235 | 1.058 | 0.857 | 1.067
  59 | Colorado         | pac_twelve | 1.234 | 1.089 | 0.883 | 1.077
  60 | UCF              | aac        | 1.233 | 1.051 | 0.852 | 1.060
  61 | Washington St    | pac_twelve | 1.232 | 1.061 | 0.861 | 1.075
  62 | Pittsburgh       | acc        | 1.232 | 1.131 | 0.919 | 1.061
  63 | VCU              | a_ten      | 1.224 | 1.062 | 0.867 | 1.042
  64 | Virginia Tech    | acc        | 1.224 | 1.119 | 0.914 | 1.065
  65 | Arizona St       | pac_twelve | 1.223 | 1.077 | 0.880 | 1.075
  66 | Nevada           | mwc        | 1.220 | 1.072 | 0.879 | 1.064
  67 | New Mexico       | mwc        | 1.216 | 1.184 | 0.974 | 1.058
  68 | North Texas      | cusa       | 1.213 | 0.955 | 0.787 | 1.038
  69 | Drake            | mvc        | 1.211 | 1.063 | 0.878 | 1.031
  70 | Yale             | ivy        | 1.209 | 1.067 | 0.883 | 1.023
  71 | Dayton           | a_ten      | 1.208 | 1.013 | 0.839 | 1.040
  72 | Oral Roberts     | summit     | 1.208 | 1.166 | 0.965 | 1.017
  73 | Stanford         | pac_twelve | 1.207 | 1.095 | 0.907 | 1.073
  74 | Vanderbilt       | sec        | 1.206 | 1.118 | 0.927 | 1.083
  75 | Col Charleston   | caa        | 1.204 | 1.138 | 0.946 | 1.012
  76 | St John's        | big_east   | 1.203 | 1.158 | 0.963 | 1.071
  77 | Wake Forest      | acc        | 1.203 | 1.145 | 0.952 | 1.066
  78 | UAB              | cusa       | 1.202 | 1.148 | 0.955 | 1.036
  79 | Bradley          | mvc        | 1.202 | 1.034 | 0.860 | 1.034
  80 | Kent             | mac        | 1.198 | 1.073 | 0.896 | 1.027
  81 | Iona             | maac       | 1.198 | 1.102 | 0.920 | 1.015
  82 | BYU              | wcc        | 1.195 | 1.098 | 0.919 | 1.061
  83 | Liberty          | a_sun      | 1.194 | 1.047 | 0.877 | 1.019
  84 | Nebraska         | big_ten    | 1.186 | 1.053 | 0.888 | 1.088
  85 | Sam Houston St   | wac        | 1.183 | 1.004 | 0.849 | 1.032
  86 | Santa Clara      | wcc        | 1.176 | 1.123 | 0.955 | 1.057
  87 | Indiana St       | mvc        | 1.175 | 1.130 | 0.961 | 1.018
  88 | Marshall         | sun_belt   | 1.175 | 1.143 | 0.973 | 1.019
  89 | Utah Valley      | wac        | 1.165 | 1.077 | 0.924 | 1.031
  90 | UNLV             | mwc        | 1.164 | 1.085 | 0.932 | 1.059
  91 | Hofstra          | caa        | 1.163 | 1.072 | 0.922 | 1.018
  92 | Toledo           | mac        | 1.163 | 1.194 | 1.027 | 1.021
  93 | Syracuse         | acc        | 1.161 | 1.093 | 0.941 | 1.060
  94 | Mississippi      | sec        | 1.161 | 1.045 | 0.901 | 1.078
  95 | St Louis         | a_ten      | 1.159 | 1.117 | 0.963 | 1.052
  96 | Washington       | pac_twelve | 1.157 | 1.062 | 0.918 | 1.074
  97 | Wichita St       | aac        | 1.156 | 1.036 | 0.896 | 1.052
  98 | Butler           | big_east   | 1.156 | 1.007 | 0.871 | 1.083
  99 | Furman           | southern   | 1.154 | 1.125 | 0.975 | 1.016
 100 | Tulane           | aac        | 1.152 | 1.155 | 1.003 | 1.048
 101 | San Francisco    | wcc        | 1.150 | 1.095 | 0.953 | 1.049
 102 | James Madison    | sun_belt   | 1.148 | 1.095 | 0.954 | 1.022
 103 | Akron            | mac        | 1.143 | 1.051 | 0.920 | 1.029
 104 | San Jose St      | mwc        | 1.142 | 1.013 | 0.887 | 1.058
 105 | Temple           | aac        | 1.140 | 1.040 | 0.912 | 1.064
 106 | Colorado St      | mwc        | 1.140 | 1.073 | 0.942 | 1.062
 107 | Southern Miss    | sun_belt   | 1.140 | 1.062 | 0.932 | 1.023
 108 | Louisiana        | sun_belt   | 1.138 | 1.102 | 0.968 | 1.028
 109 | UC Irvine        | big_west   | 1.136 | 1.072 | 0.943 | 1.023
 110 | South Alabama    | sun_belt   | 1.133 | 1.028 | 0.908 | 1.031
 111 | Loy Marymount    | wcc        | 1.132 | 1.072 | 0.947 | 1.054
 112 | Princeton        | ivy        | 1.131 | 1.068 | 0.944 | 1.022
 113 | Duquesne         | a_ten      | 1.124 | 1.074 | 0.956 | 1.034
 114 | Belmont          | mvc        | 1.123 | 1.098 | 0.978 | 1.029
 115 | LSU              | sec        | 1.123 | 1.036 | 0.923 | 1.072
 116 | UC Santa Barbara | big_west   | 1.122 | 1.039 | 0.926 | 1.015
 117 | DePaul           | big_east   | 1.121 | 1.083 | 0.965 | 1.085
 118 | Charlotte        | cusa       | 1.121 | 0.966 | 0.861 | 1.028
 119 | Colgate          | patriot    | 1.119 | 1.103 | 0.986 | 1.001
 120 | UNC Greensboro   | southern   | 1.119 | 0.999 | 0.893 | 1.022
 121 | Georgia Tech     | acc        | 1.118 | 1.033 | 0.924 | 1.064
 122 | S Illinois       | mvc        | 1.117 | 0.959 | 0.858 | 1.028
 123 | Grand Canyon     | wac        | 1.114 | 1.049 | 0.941 | 1.033
 124 | Georgia          | sec        | 1.111 | 1.039 | 0.935 | 1.063
 125 | Notre Dame       | acc        | 1.111 | 1.042 | 0.938 | 1.063
 126 | Fordham          | a_ten      | 1.111 | 1.043 | 0.939 | 1.023
 127 | Vermont          | aec        | 1.110 | 1.024 | 0.922 | 1.016
 128 | MTSU             | cusa       | 1.108 | 1.033 | 0.932 | 1.041
 129 | Davidson         | a_ten      | 1.107 | 1.025 | 0.926 | 1.043
 130 | Ohio             | mac        | 1.107 | 1.092 | 0.986 | 1.023
 131 | South Florida    | aac        | 1.107 | 1.055 | 0.953 | 1.045
 132 | Southern Utah    | wac        | 1.107 | 1.124 | 1.016 | 1.039
 133 | Troy             | sun_belt   | 1.106 | 1.030 | 0.932 | 1.028
 134 | Montana St       | big_sky    | 1.105 | 1.012 | 0.916 | 1.020
 135 | Samford          | southern   | 1.104 | 1.076 | 0.975 | 1.014
 136 | MA Lowell        | aec        | 1.103 | 1.065 | 0.965 | 0.990
 137 | Youngstown St    | horizon    | 1.102 | 1.106 | 1.004 | 1.000
 138 | George Mason     | a_ten      | 1.101 | 1.002 | 0.910 | 1.036
 139 | Richmond         | a_ten      | 1.101 | 0.999 | 0.908 | 1.037
 140 | Towson           | caa        | 1.101 | 1.023 | 0.929 | 1.011
 141 | Boston College   | acc        | 1.100 | 1.010 | 0.918 | 1.063
 142 | Missouri St      | mvc        | 1.099 | 0.961 | 0.875 | 1.034
 143 | Hawaii           | big_west   | 1.099 | 0.966 | 0.879 | 1.018
 144 | Cornell          | ivy        | 1.099 | 1.140 | 1.038 | 1.023
 145 | Fresno St        | mwc        | 1.098 | 0.977 | 0.889 | 1.057
 146 | CS Fullerton     | big_west   | 1.096 | 0.986 | 0.899 | 1.028
 147 | Penn             | ivy        | 1.096 | 1.061 | 0.968 | 1.029
 148 | Portland         | wcc        | 1.091 | 1.102 | 1.010 | 1.053
 149 | Air Force        | mwc        | 1.091 | 0.984 | 0.902 | 1.042
 150 | E Washington     | big_sky    | 1.088 | 1.083 | 0.995 | 1.018
 151 | Wyoming          | mwc        | 1.084 | 1.031 | 0.951 | 1.064
 152 | Kennesaw         | a_sun      | 1.083 | 1.044 | 0.964 | 1.020
 153 | Florida St       | acc        | 1.081 | 1.061 | 0.982 | 1.073
 154 | UC Riverside     | big_west   | 1.080 | 1.036 | 0.959 | 1.028
 155 | Ball St          | mac        | 1.079 | 1.060 | 0.983 | 1.019
 156 | Harvard          | ivy        | 1.077 | 0.982 | 0.912 | 1.025
 157 | SMU              | aac        | 1.076 | 1.043 | 0.969 | 1.063
 158 | Minnesota        | big_ten    | 1.075 | 0.996 | 0.926 | 1.082
 159 | East Carolina    | aac        | 1.075 | 1.015 | 0.944 | 1.042
 160 | Seattle          | wac        | 1.075 | 1.018 | 0.947 | 1.032
 161 | SF Austin        | wac        | 1.074 | 1.046 | 0.974 | 1.026
 162 | UNC Wilmington   | caa        | 1.073 | 0.980 | 0.913 | 1.019
 163 | St Joseph's PA   | a_ten      | 1.073 | 1.052 | 0.981 | 1.033
 164 | Pepperdine       | wcc        | 1.071 | 1.098 | 1.026 | 1.056
 165 | UC Davis         | big_west   | 1.069 | 1.056 | 0.988 | 1.020
 166 | Old Dominion     | sun_belt   | 1.069 | 0.984 | 0.920 | 1.030
 167 | Pacific          | wcc        | 1.068 | 1.085 | 1.015 | 1.041
 168 | Utah Tech        | wac        | 1.068 | 1.061 | 0.994 | 1.034
 169 | UNC Asheville    | big_south  | 1.067 | 1.027 | 0.962 | 1.006
 170 | Georgetown       | big_east   | 1.065 | 1.054 | 0.990 | 1.076
 171 | Louisiana Tech   | cusa       | 1.065 | 1.018 | 0.957 | 1.038
 172 | Long Beach St    | big_west   | 1.064 | 1.091 | 1.026 | 1.027
 173 | St Bonaventure   | a_ten      | 1.064 | 0.977 | 0.918 | 1.033
 174 | Chattanooga      | southern   | 1.063 | 1.069 | 1.006 | 1.020
 175 | Cal Baptist      | wac        | 1.063 | 0.967 | 0.910 | 1.025
 176 | S Dakota St      | summit     | 1.062 | 1.012 | 0.953 | 1.024
 177 | Longwood         | big_south  | 1.062 | 0.999 | 0.940 | 1.000
 178 | Massachusetts    | a_ten      | 1.061 | 1.037 | 0.977 | 1.036
 179 | Lipscomb         | a_sun      | 1.061 | 1.045 | 0.985 | 1.013
 180 | Montana          | big_sky    | 1.061 | 1.004 | 0.947 | 1.021
 181 | N Kentucky       | horizon    | 1.061 | 0.944 | 0.890 | 1.014
 182 | Oregon St        | pac_twelve | 1.060 | 0.945 | 0.891 | 1.067
 183 | Drexel           | caa        | 1.059 | 0.948 | 0.895 | 1.006
 184 | Brown            | ivy        | 1.058 | 1.009 | 0.953 | 1.021
 185 | Quinnipiac       | maac       | 1.057 | 1.044 | 0.987 | 1.007
 186 | Northern Iowa    | mvc        | 1.057 | 1.015 | 0.960 | 1.034
 187 | Tarleton St      | wac        | 1.056 | 0.996 | 0.943 | 1.040
 188 | Cleveland St     | horizon    | 1.056 | 1.001 | 0.948 | 1.006
 189 | Navy             | patriot    | 1.056 | 0.978 | 0.926 | 1.004
 190 | Appalachian St   | sun_belt   | 1.055 | 0.963 | 0.913 | 1.028
 191 | Radford          | big_south  | 1.055 | 0.983 | 0.932 | 1.010
 192 | WKU              | cusa       | 1.054 | 1.019 | 0.967 | 1.035
 193 | Wright St        | horizon    | 1.053 | 1.071 | 1.017 | 1.002
 194 | G Washington     | a_ten      | 1.053 | 1.086 | 1.031 | 1.030
 195 | South Carolina   | sec        | 1.051 | 0.982 | 0.934 | 1.069
 196 | Stetson          | a_sun      | 1.050 | 1.049 | 0.999 | 1.021
 197 | St Thomas MN     | summit     | 1.049 | 1.036 | 0.988 | 1.010
 198 | Buffalo          | mac        | 1.047 | 1.081 | 1.032 | 1.041
 199 | Texas St         | sun_belt   | 1.046 | 0.971 | 0.928 | 1.029
 200 | UTEP             | cusa       | 1.046 | 0.966 | 0.924 | 1.039
 201 | San Diego        | wcc        | 1.045 | 1.094 | 1.046 | 1.048
 202 | E Kentucky       | a_sun      | 1.045 | 1.034 | 0.990 | 1.023
 203 | New Mexico St    | wac        | 1.045 | 1.045 | 1.001 | 1.042
 204 | La Salle         | a_ten      | 1.044 | 1.021 | 0.978 | 1.034
 205 | FL Gulf Coast    | a_sun      | 1.044 | 1.007 | 0.965 | 1.017
 206 | Detroit          | horizon    | 1.044 | 1.072 | 1.027 | 1.015
 207 | TAM C. Christi   | southland  | 1.043 | 1.059 | 1.015 | 0.991
 208 | Siena            | maac       | 1.043 | 0.993 | 0.953 | 1.010
 209 | Bryant           | aec        | 1.042 | 1.078 | 1.034 | 1.012
 210 | Rider            | maac       | 1.042 | 1.002 | 0.962 | 1.009
 211 | Murray St        | mvc        | 1.041 | 1.023 | 0.982 | 1.031
 212 | Ga Southern      | sun_belt   | 1.038 | 0.975 | 0.939 | 1.022
 213 | NC Central       | meac       | 1.034 | 0.988 | 0.955 | 1.000
 214 | Rice             | cusa       | 1.033 | 1.072 | 1.038 | 1.036
 215 | Gardner Webb     | big_south  | 1.032 | 0.956 | 0.926 | 1.009
 216 | Weber St         | big_sky    | 1.032 | 0.954 | 0.924 | 1.022
 217 | Queens NC        | a_sun      | 1.031 | 1.070 | 1.038 | 1.010
 218 | Abilene Chr      | wac        | 1.030 | 1.036 | 1.005 | 1.034
 219 | Norfolk St       | meac       | 1.029 | 1.014 | 0.985 | 0.998
 220 | Wofford          | southern   | 1.028 | 1.028 | 0.999 | 1.020
 221 | Florida Intl     | cusa       | 1.028 | 1.034 | 1.005 | 1.031
 222 | N Dakota St      | summit     | 1.028 | 1.027 | 0.999 | 1.024
 223 | Mercer           | southern   | 1.026 | 0.953 | 0.929 | 1.016
 224 | Grambling        | swac       | 1.024 | 0.948 | 0.926 | 0.985
 225 | Northwestern LA  | southland  | 1.023 | 1.018 | 0.995 | 0.997
 226 | Rhode Island     | a_ten      | 1.021 | 0.970 | 0.950 | 1.037
 227 | Northern Arizona | big_sky    | 1.019 | 1.032 | 1.012 | 1.029
 228 | WI Milwaukee     | horizon    | 1.018 | 1.053 | 1.034 | 1.013
 229 | SIUE             | ovc        | 1.018 | 1.014 | 0.997 | 0.999
 230 | Delaware         | caa        | 1.016 | 1.001 | 0.985 | 1.016
 231 | PFW              | horizon    | 1.016 | 1.008 | 0.992 | 1.009
 232 | Loyola-Chicago   | a_ten      | 1.015 | 0.985 | 0.970 | 1.037
 233 | N Illinois       | mac        | 1.014 | 1.013 | 0.999 | 1.024
 234 | N Colorado       | big_sky    | 1.014 | 1.061 | 1.047 | 1.028
 235 | W Carolina       | southern   | 1.014 | 1.005 | 0.991 | 1.015
 236 | ETSU             | southern   | 1.013 | 0.976 | 0.963 | 1.014
 237 | Campbell         | big_south  | 1.013 | 0.975 | 0.963 | 1.008
 238 | Robert Morris    | horizon    | 1.010 | 0.960 | 0.951 | 1.005
 239 | CS Sacramento    | big_sky    | 1.008 | 0.947 | 0.939 | 1.022
 240 | Louisville       | acc        | 1.008 | 0.987 | 0.979 | 1.072
 241 | California       | pac_twelve | 1.007 | 0.920 | 0.913 | 1.078
 242 | Portland St      | big_sky    | 1.007 | 1.067 | 1.059 | 1.026
 243 | SE Missouri St   | ovc        | 1.006 | 1.058 | 1.052 | 1.002
 244 | Howard           | meac       | 1.006 | 1.017 | 1.012 | 1.001
 245 | UMBC             | aec        | 1.005 | 1.030 | 1.025 | 0.999
 246 | Army             | patriot    | 1.001 | 1.017 | 1.016 | 0.996
 247 | Illinois St      | mvc        | 0.999 | 0.959 | 0.960 | 1.021
 248 | North Florida    | a_sun      | 0.998 | 1.048 | 1.050 | 1.020
 249 | Winthrop         | big_south  | 0.998 | 1.036 | 1.038 | 1.015
 250 | Jacksonville     | a_sun      | 0.997 | 0.903 | 0.905 | 1.020
 251 | Niagara          | maac       | 0.997 | 0.934 | 0.936 | 1.012
 252 | Southern Indiana | ovc        | 0.996 | 1.039 | 1.043 | 0.999
 253 | Canisius         | maac       | 0.996 | 0.993 | 0.997 | 1.017
 254 | Morehead St      | ovc        | 0.996 | 0.935 | 0.939 | 1.007
 255 | Jacksonville St  | a_sun      | 0.996 | 0.970 | 0.974 | 1.020
 256 | Fairfield        | maac       | 0.995 | 0.940 | 0.945 | 1.012
 257 | Miami OH         | mac        | 0.994 | 1.012 | 1.019 | 1.025
 258 | W Illinois       | summit     | 0.992 | 0.999 | 1.007 | 1.010
 259 | UT Arlington     | wac        | 0.991 | 0.948 | 0.956 | 1.041
 260 | Dartmouth        | ivy        | 0.990 | 0.990 | 1.000 | 1.022
 261 | Idaho St         | big_sky    | 0.989 | 0.964 | 0.975 | 1.015
 262 | TN Martin        | ovc        | 0.989 | 1.042 | 1.054 | 0.997
 263 | Bowling Green    | mac        | 0.989 | 1.041 | 1.053 | 1.017
 264 | Lafayette        | patriot    | 0.989 | 0.894 | 0.904 | 1.012
 265 | UTRGV            | wac        | 0.988 | 1.062 | 1.075 | 1.027
 266 | Valparaiso       | mvc        | 0.987 | 0.974 | 0.987 | 1.025
 267 | North Dakota     | summit     | 0.987 | 1.005 | 1.018 | 1.018
 268 | Boston Univ      | patriot    | 0.986 | 0.943 | 0.956 | 1.001
 269 | American Univ    | patriot    | 0.986 | 0.930 | 0.943 | 0.995
 270 | IL Chicago       | mvc        | 0.984 | 0.982 | 0.998 | 1.022
 271 | North Alabama    | a_sun      | 0.984 | 1.024 | 1.041 | 1.011
 272 | Georgia St       | sun_belt   | 0.984 | 0.957 | 0.973 | 1.030
 273 | SC Upstate       | big_south  | 0.983 | 0.968 | 0.985 | 1.013
 274 | UC San Diego     | big_west   | 0.982 | 0.969 | 0.986 | 1.026
 275 | Bellarmine       | a_sun      | 0.982 | 0.929 | 0.947 | 1.028
 276 | SE Louisiana     | southland  | 0.981 | 1.024 | 1.044 | 0.998
 277 | Oakland          | horizon    | 0.980 | 1.022 | 1.042 | 1.019
 278 | Tennessee St     | ovc        | 0.980 | 1.030 | 1.051 | 0.991
 279 | Mt St Mary's     | maac       | 0.979 | 0.934 | 0.954 | 1.013
 280 | Nicholls St      | southland  | 0.978 | 1.008 | 1.030 | 1.005
 281 | Maine            | aec        | 0.978 | 0.954 | 0.976 | 1.011
 282 | Tennessee Tech   | ovc        | 0.976 | 0.982 | 1.006 | 1.006
 283 | MD E Shore       | meac       | 0.974 | 0.947 | 0.973 | 1.004
 284 | Marist           | maac       | 0.973 | 0.934 | 0.959 | 1.005
 285 | Arkansas St      | sun_belt   | 0.973 | 0.927 | 0.953 | 1.016
 286 | Lehigh           | patriot    | 0.973 | 0.980 | 1.007 | 1.004
 287 | Coastal Car      | sun_belt   | 0.971 | 1.013 | 1.043 | 1.024
 288 | New Hampshire    | aec        | 0.970 | 0.917 | 0.945 | 1.006
 289 | Tulsa            | aac        | 0.970 | 0.983 | 1.013 | 1.054
 290 | ULM              | sun_belt   | 0.969 | 0.939 | 0.970 | 1.031
 291 | Denver           | summit     | 0.969 | 1.001 | 1.033 | 1.003
 292 | UT San Antonio   | cusa       | 0.965 | 1.010 | 1.046 | 1.035
 293 | Southern Univ    | swac       | 0.964 | 0.977 | 1.013 | 0.994
 294 | Charleston So    | big_south  | 0.964 | 0.999 | 1.037 | 1.010
 295 | Idaho            | big_sky    | 0.963 | 0.982 | 1.019 | 1.010
 296 | W Michigan       | mac        | 0.963 | 0.990 | 1.028 | 1.025
 297 | Bucknell         | patriot    | 0.963 | 0.957 | 0.994 | 0.999
 298 | Prairie View     | swac       | 0.960 | 0.925 | 0.964 | 0.996
 299 | Alcorn St        | swac       | 0.960 | 0.967 | 1.007 | 0.996
 300 | E Michigan       | mac        | 0.960 | 1.025 | 1.067 | 1.027
 301 | Cal Poly         | big_west   | 0.959 | 0.884 | 0.922 | 1.027
 302 | High Point       | big_south  | 0.959 | 1.024 | 1.068 | 1.007
 303 | Missouri KC      | summit     | 0.959 | 0.908 | 0.947 | 1.019
 304 | South Dakota     | summit     | 0.958 | 0.982 | 1.025 | 1.018
 305 | Manhattan        | maac       | 0.958 | 0.951 | 0.993 | 1.009
 306 | Northeastern     | caa        | 0.958 | 0.953 | 0.995 | 1.015
 307 | Binghamton       | aec        | 0.955 | 0.951 | 0.995 | 1.007
 308 | CS Bakersfield   | big_west   | 0.955 | 0.880 | 0.922 | 1.022
 309 | St Peter's       | maac       | 0.953 | 0.895 | 0.939 | 1.007
 310 | TX A&M Commerce  | southland  | 0.951 | 0.966 | 1.016 | 0.993
 311 | NE Omaha         | summit     | 0.951 | 0.986 | 1.037 | 1.026
 312 | F Dickinson      | nec        | 0.951 | 1.041 | 1.095 | 0.974
 313 | NC A&T           | caa        | 0.950 | 0.992 | 1.045 | 1.015
 314 | Ark Little Rock  | ovc        | 0.949 | 1.037 | 1.093 | 1.001
 315 | William & Mary   | caa        | 0.948 | 0.948 | 1.000 | 1.014
 316 | Chicago St       | ind        | 0.948 | 0.952 | 1.004 | 1.016
 317 | Wagner           | nec        | 0.943 | 0.869 | 0.922 | 0.976
 318 | TX Southern      | swac       | 0.943 | 0.954 | 1.012 | 1.005
 319 | Citadel          | southern   | 0.941 | 0.960 | 1.021 | 1.017
 320 | C Michigan       | mac        | 0.940 | 0.931 | 0.991 | 1.023
 321 | Merrimack        | nec        | 0.939 | 0.877 | 0.933 | 0.986
 322 | Loyola MD        | patriot    | 0.936 | 0.944 | 1.008 | 1.004
 323 | Jackson St       | swac       | 0.935 | 0.959 | 1.026 | 1.003
 324 | NJIT             | aec        | 0.932 | 0.942 | 1.010 | 1.005
 325 | Morgan St        | meac       | 0.932 | 0.961 | 1.032 | 0.999
 326 | Alabama A&M      | swac       | 0.931 | 0.946 | 1.016 | 0.990
 327 | CS Northridge    | big_west   | 0.931 | 0.909 | 0.976 | 1.020
 328 | Stonehill        | nec        | 0.930 | 0.928 | 0.999 | 0.989
 329 | Stony Brook      | caa        | 0.930 | 0.902 | 0.970 | 1.014
 330 | Sacred Heart     | nec        | 0.929 | 0.972 | 1.046 | 0.976
 331 | Elon             | caa        | 0.928 | 0.937 | 1.010 | 1.013
 332 | Austin Peay      | a_sun      | 0.924 | 0.919 | 0.994 | 1.022
 333 | E Illinois       | ovc        | 0.923 | 0.936 | 1.014 | 1.004
 334 | St Francis PA    | nec        | 0.919 | 0.988 | 1.075 | 0.984
 335 | Cent Arkansas    | a_sun      | 0.919 | 1.015 | 1.104 | 1.018
 336 | Central Conn     | nec        | 0.917 | 0.919 | 1.003 | 0.984
 337 | Lindenwood       | ovc        | 0.916 | 0.936 | 1.022 | 1.005
 338 | SUNY Albany      | aec        | 0.914 | 0.957 | 1.047 | 1.012
 339 | McNeese St       | southland  | 0.913 | 0.945 | 1.035 | 1.007
 340 | Holy Cross       | patriot    | 0.911 | 0.943 | 1.035 | 1.003
 341 | Ark Pine Bluff   | swac       | 0.911 | 0.935 | 1.027 | 1.003
 342 | New Orleans      | southland  | 0.910 | 0.997 | 1.096 | 0.996
 343 | Columbia         | ivy        | 0.909 | 0.948 | 1.043 | 1.023
 344 | Presbyterian     | big_south  | 0.908 | 0.892 | 0.983 | 1.008
 345 | Coppin St        | meac       | 0.908 | 1.013 | 1.116 | 1.014
 346 | Evansville       | mvc        | 0.905 | 0.932 | 1.030 | 1.031
 347 | Hampton          | caa        | 0.904 | 0.970 | 1.073 | 1.011
 348 | Incarnate Word   | southland  | 0.901 | 0.935 | 1.038 | 0.990
 349 | VMI              | southern   | 0.899 | 0.955 | 1.062 | 1.019
 350 | Monmouth NJ      | caa        | 0.891 | 0.917 | 1.030 | 1.023
 351 | S Carolina St    | meac       | 0.888 | 1.006 | 1.132 | 1.011
 352 | Houston Chr      | southland  | 0.883 | 1.013 | 1.147 | 0.997
 353 | St Francis NY    | nec        | 0.879 | 0.880 | 1.002 | 0.973
 354 | Alabama St       | swac       | 0.876 | 0.892 | 1.019 | 0.997
 355 | Lamar            | southland  | 0.874 | 0.915 | 1.048 | 0.995
 356 | Bethune-Cookman  | swac       | 0.868 | 0.941 | 1.084 | 0.989
